row,column,row_offset,column_offset,text,row_height_feet,column_width_feet,is_merged,merge_top,merge_left,merge_bottom,merge_right,text_size,is_bold,horizontal_alignment,vertical_alignment
18,8,18,8,S_,0.020833333333333336,0.02615443470745835,True,18,8,18,8,,,,
18,9,18,9,W,0.020833333333333336,0.02615443470745828,True,18,9,18,9,,,,
18,10,18,10,,0.020833333333333336,0.041847095531933352,True,18,10,18,10,,,,
19,0,19,0,Slab on Metal Deck,0.020833333333333336,0.021795362256215287,True,19,0,20,1,,,,
19,1,19,1,,0.020833333333333336,0.10374592433958478,True,19,0,20,1,,,,
19,2,19,2,--,0.020833333333333336,0.06015938453670739,True,19,2,20,2,,,,
19,3,19,3,-,0.020833333333333336,0.047705688906404017,True,19,3,20,3,,,,
19,4,19,4,-,0.020833333333333336,0.030966850693630685,True,19,4,20,4,,,,
19,5,19,5,"3/4""",0.020833333333333336,0.030966850693630685,True,19,5,20,5,,,,
19,6,19,6,-,0.020833333333333336,0.062770643297900025,True,19,6,20,6,,,,
19,7,19,7,-,0.020833333333333336,0.049898476712277338,True,19,7,20,7,,,,
19,8,19,8,F_,0.020833333333333336,0.02615443470745835,True,19,8,19,8,,,,
19,9,19,9,C_,0.020833333333333336,0.02615443470745828,True,19,9,19,9,,,,
19,10,19,10,,0.020833333333333336,0.041847095531933352,True,19,10,19,10,,,,
20,0,20,0,,0.020833333333333336,0.021795362256215287,True,19,0,20,1,,,,
20,1,20,1,,0.020833333333333336,0.10374592433958478,True,19,0,20,1,,,,
20,2,20,2,,0.020833333333333336,0.06015938453670739,True,19,2,20,2,,,,
20,3,20,3,,0.020833333333333336,0.047705688906404017,True,19,3,20,3,,,,
20,4,20,4,,0.020833333333333336,0.030966850693630685,True,19,4,20,4,,,,
20,5,20,5,,0.020833333333333336,0.030966850693630685,True,19,5,20,5,,,,
20,6,20,6,,0.020833333333333336,0.062770643297900025,True,19,6,20,6,,,,
20,7,20,7,,0.020833333333333336,0.049898476712277338,True,19,7,20,7,,,,
20,8,20,8,S_,0.020833333333333336,0.02615443470745835,True,20,8,20,8,,,,
20,9,20,9,W,0.020833333333333336,0.02615443470745828,True,20,9,20,9,,,,
20,10,20,10,,0.020833333333333336,0.041847095531933352,True,20,10,20,10,,,,
21,0,21,0,"Exterior Slab on Grade, Garage Slab on Grade",0.020833333333333336,0.021795362256215287,True,21,0,22,1,,,,
21,1,21,1,,0.020833333333333336,0.10374592433958478,True,21,0,22,1,,,,
21,2,21,2,--,0.020833333333333336,0.06015938453670739,True,21,2,22,2,,,,
21,3,21,3,-,0.020833333333333336,0.047705688906404017,True,21,3,22,3,,,,
21,4,21,4,-,0.020833333333333336,0.030966850693630685,True,21,4,22,4,,,,
21,5,21,5,"3/4""",0.020833333333333336,0.030966850693630685,True,21,5,22,5,,,,
21,6,21,6,-,0.020833333333333336,0.062770643297900025,True,21,6,22,6,,,,
21,7,21,7,-,0.020833333333333336,0.049898476712277338,True,21,7,22,7,,,,
21,8,21,8,F_,0.020833333333333336,0.02615443470745835,True,21,8,21,8,,,,
21,9,21,9,C_,0.020833333333333336,0.02615443470745828,True,21,9,21,9,,,,
21,10,21,10,,0.020833333333333336,0.041847095531933352,True,21,10,21,10,,,,
22,0,22,0,,0.020833333333333336,0.021795362256215287,True,21,0,22,1,,,,
22,1,22,1,,0.020833333333333336,0.10374592433958478,True,21,0,22,1,,,,
22,2,22,2,,0.020833333333333336,0.06015938453670739,True,21,2,22,2,,,,
22,3,22,3,,0.020833333333333336,0.047705688906404017,True,21,3,22,3,,,,
22,4,22,4,,0.020833333333333336,0.030966850693630685,True,21,4,22,4,,,,
22,5,22,5,,0.020833333333333336,0.030966850693630685,True,21,5,22,5,,,,
22,6,22,6,,0.020833333333333336,0.062770643297900025,True,21,6,22,6,,,,
22,7,22,7,,0.020833333333333336,0.049898476712277338,True,21,7,22,7,,,,
22,8,22,8,S_,0.020833333333333336,0.02615443470745835,True,22,8,22,8,,,,
22,9,22,9,W,0.020833333333333336,0.02615443470745828,True,22,9,22,9,,,,
22,10,22,10,,0.020833333333333336,0.041847095531933352,True,22,10,22,10,,,,
23,0,23,0,Columns,0.025000000000000001,0.021795362256215287,True,23,0,24,1,,,,
23,1,23,1,,0.025000000000000001,0.10374592433958478,True,23,0,24,1,,,,
23,2,23,2,"--,, UNO 
(Note 4)",0.025000000000000001,0.06015938453670739,True,23,2,24,2,,,,
23,3,23,3,-,0.025000000000000001,0.047705688906404017,True,23,3,24,3,,,,
23,4,23,4,-,0.025000000000000001,0.030966850693630685,True,23,4,24,4,,,,
23,5,23,5,"3/4""",0.025000000000000001,0.030966850693630685,True,23,5,24,5,,,,
23,6,23,6,-,0.025000000000000001,0.062770643297900025,True,23,6,24,6,,,,
23,7,23,7,-,0.025000000000000001,0.049898476712277338,True,23,7,24,7,,,,
23,8,23,8,F_,0.025000000000000001,0.02615443470745835,True,23,8,23,8,,,,
23,9,23,9,C_,0.025000000000000001,0.02615443470745828,True,23,9,23,9,,,,
23,10,23,10,,0.025000000000000001,0.041847095531933352,True,23,10,23,10,,,,
24,0,24,0,,0.025000000000000001,0.021795362256215287,True,23,0,24,1,,,,
24,1,24,1,,0.025000000000000001,0.10374592433958478,True,23,0,24,1,,,,
24,2,24,2,,0.025000000000000001,0.06015938453670739,True,23,2,24,2,,,,
